City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saskylakh,71.92,114.08,-10.92,91,100,7.3,RU,1584253399
1,cape town,-33.93,18.42,19.44,72,20,8.2,ZA,1584253140
2,ushuaia,-54.8,-68.3,12.0,66,40,2.53,AR,1584253399
3,marawi,8.0,124.29,27.78,79,93,3.58,PH,1584253400
4,manukan,8.53,123.1,27.51,68,80,7.27,PH,1584253400
5,tuktoyaktuk,69.45,-133.04,-11.95,84,23,15.94,CA,1584253400
6,ilulissat,69.22,-51.1,-21.0,63,85,4.6,GL,1584253400
7,rikitea,-23.12,-134.97,26.02,71,3,4.36,PF,1584253401
8,busselton,-33.65,115.33,27.22,47,14,6.9,AU,1584253401
9,grindavik,63.84,-22.43,-7.0,85,0,6.7,IS,1584253401
10,bluff,-46.6,168.33,15.56,84,100,4.92,NZ,1584253401
11,bombay,19.01,72.85,33.33,21,35,4.1,IN,1584253380
12,bengkulu,-3.8,102.27,32.16,58,72,3.39,ID,1584253401
13,bredasdorp,-34.53,20.04,17.0,88,99,2.1,ZA,1584253402
14,kalmunai,7.42,81.82,28.45,67,100,3.2,LK,1584253402
15,koslan,63.46,48.9,-10.37,83,80,3.65,RU,1584253402
16,alberton,46.82,-64.07,-5.0,33,0,11.67,CA,1584253402
17,port elizabeth,-33.92,25.57,20.0,88,40,7.7,ZA,1584253403
18,lascahobas,18.83,-71.94,26.0,61,40,5.7,HT,1584253403
19,hilo,19.73,-155.09,24.0,83,90,1.47,US,1584253204
20,huaicheng,23.91,112.19,22.9,46,49,1.66,CN,1584253403
21,sola,-13.88,167.55,31.0,74,75,7.7,VU,1584253404
22,batagay,67.63,134.63,-22.2,77,14,1.58,RU,1584253404
23,grimmen,54.11,13.04,2.0,64,20,4.1,DE,1584253372
24,port alfred,-33.59,26.89,20.56,88,81,2.68,ZA,1584253405
25,nikolskoye,59.7,30.79,-3.89,57,27,4.0,RU,1584253405
26,souillac,-20.52,57.52,28.89,78,40,3.1,MU,1584253405
27,qaanaaq,77.48,-69.36,-28.72,60,63,3.44,GL,1584253405
28,kulhudhuffushi,6.62,73.07,29.01,70,0,4.57,MV,1584253405
29,saint-pierre,-21.34,55.48,29.0,69,67,8.7,RE,1584253406
30,lusambo,-4.97,23.45,24.1,81,86,1.15,CD,1584253406
31,ahipara,-35.17,173.17,19.89,74,0,5.78,NZ,1584253406
32,ixtapa,20.7,-105.2,22.0,94,40,1.0,MX,1584253406
33,hermanus,-34.42,19.23,17.78,94,100,6.78,ZA,1584253407
34,atasu,48.68,71.64,2.51,99,80,3.15,KZ,1584253407
35,pangkalanbuun,-2.68,111.62,35.27,44,35,0.39,ID,1584253407
36,faanui,-16.48,-151.75,28.28,77,12,5.11,PF,1584253407
37,ribeira grande,38.52,-28.7,12.75,88,26,1.67,PT,1584253407
38,novopokrovka,49.84,36.55,-1.0,50,19,6.0,UA,1584253408
39,tweed,44.48,-77.32,1.0,37,20,5.1,CA,1584253408
40,horqueta,-23.34,-57.06,25.11,50,34,2.07,PY,1584253408
41,provideniya,64.38,-173.3,-8.06,95,93,3.6,RU,1584253408
